Name,EmotionalState,Class
Gordon,C,None
Gabriel,C,None
Octavio,C,None
Alva,C,None
Ludwig,C,None
Loid,C,None
Ryan,C,None
Mirtha,C,None
Lucy,C,None
Samuel,C,None
Anthony,C,None
Yami,C,None
Hazel,C,None
Benjamin,C,None
Madison,C,None
Henry,C,None
James,C,None
Mia,C,None
Ethan,C,None
Harper,C,None
Amara,C,None
Bodhi,C,None
Celia,C,None
Dax,C,None
April,C,None
Elara,C,None
Finnian,C,None
Giselle,C,None
Giusseppe,C,None
Huxley,C,None
Inara,C,None
Jovan,C,None
Kiera,C,None
Leif,C,None
Pablo,C,None
Maelle,C,None
Nola,C,None
Orin,C,None
Phaedra,C,None
Quinlan,C,None
Rhiannon,C,None
Soren,C,None
Thalia,C,None
Mauricio,C,None
Tiberius,C,None
Marcus,C,None
Chris,C,None
Robert,C,None
Ernesto,C,None
Nestor,C,None
Lucas,C,None
Damian,C,None
Nicole,C,None
Richard,C,None
Steve,C,None
Alex,C,None
Rocio,C,None
Valentina,C,None
Shael,C,None
Monica,C,None
Californio,C,None
Borito,C,None
Laurencio,C,None
Bismuto,C,None
Blas,C,None
Natalia,C,None
Barney,C,None
Lise,C,None
Antoine,C,None
Tom,C,None
Agus,C,None
Eli,C,None
Fabrizio,C,None
Belen,C,None
John,C,None
Thomas,C,None
Felicit,C,None
Micaela,C,None
Andrew,C,None
Melisa,C,None
Exequiel,C,None
Albert,C,None
Gonzalo,C,None
Luis,C,None
Michael,C,None
Brise,C,None
Mateo,C,None
Isaac,C,None
Johannes,C,None
Demetrio,C,None
Walter,C,None
Linus,C,None
Leo,C,None
Clarisa,C,None
Milagros,C,None
Claire,C,None
Simon,C,None
Frederik,C,None
Gustavo,C,None
